ID,Source,Institution/Project,ScientificName,YearObserved,DateObserved,Latitude,Longitude,Country,StateProvince,SpecimenType,Status
33063,bbw_2019,Bumble Bee Watch,"Bombus fraternus (Smith, 1854)",2017,42904,37.229396,-100.000977,United States,Kansas,Observation,Verified
16201,bbw_2019,Bumble Bee Watch,"Bombus impatiens Cresson, 1863",2016,42645,38.955524,-95.243825,United States,Kansas,Observation,Verified
9403,bbw_2019,Bumble Bee Watch,"Bombus griseocollis (De Geer, 1773)",2016,42472,39.453161,-99.84375,United States,Kansas,Observation,Verified
5897,bbw_2019,Bumble Bee Watch,"Bombus bimaculatus Cresson, 1863",2015,42185,38.985719,-94.797643,United States,Kansas,Observation,Verified
5178,bbw_2019,Bumble Bee Watch,"Bombus pensylvanicus (De Geer, 1773)",2014,41889,37.983727,-100.984003,United States,Kansas,Observation,Verified
5177,bbw_2019,Bumble Bee Watch,"Bombus pensylvanicus (De Geer, 1773)",2015,42132,37.9838,-100.977992,United States,Kansas,Observation,Verified
5122,bbw_2019,Bumble Bee Watch,"Bombus impatiens Cresson, 1863",2015,42126,38.947923,-94.660077,United States,Kansas,Observation,Verified
3520,bbw_2019,Bumble Bee Watch,"Bombus bimaculatus Cresson, 1863",2014,41817,39.109817,-96.802254,United States,Kansas,Observation,Verified
2743,bbw_2019,Bumble Bee Watch,"Bombus auricomus (Robertson, 1903)",2014,41803,38.949509,-95.262309,United States,Kansas,Observation,Verified
2175,bbw_2019,Bumble Bee Watch,"Bombus fraternus (Smith, 1854)",2011,40702,39.14244,-96.636404,United States,Kansas,Observation,Verified
1430,bbw_2019,Bumble Bee Watch,"Bombus pensylvanicus (De Geer, 1773)",2014,41766,38.205089,-97.773385,United States,Kansas,Observation,Verified
1321121197,gbif_bson_na,USNM,"Bombus sonorus Say, 1837",1906,2380,38.7775,-95.1875,US,Kansas,PRESERVED_SPECIMEN,
894585049,gbif_bpen_na,KU,"Bombus pensylvanicus (De Geer, 1773)",1979,29113,39.04323,-95.32713,US,Kansas,PRESERVED_SPECIMEN,
767140969,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1938,14035,39.32461,-94.91995,US,Kansas,PRESERVED_SPECIMEN,
767140953,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1922,8283,38.24197,-96.93469,US,Kansas,PRESERVED_SPECIMEN,
767140942,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1922,8283,38.24197,-96.93469,US,Kansas,PRESERVED_SPECIMEN,
767140924,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1920,7490,38.91192,-95.26786,US,Kansas,PRESERVED_SPECIMEN,
767140917,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1905,1920,38.91192,-95.26786,US,Kansas,PRESERVED_SPECIMEN,
767136295,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1925,9281,38.61659,-95.31025,US,Kansas,PRESERVED_SPECIMEN,
767136265,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1927,10050,38.61659,-95.31025,US,Kansas,PRESERVED_SPECIMEN,
767136242,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1925,9320,38.61659,-95.31025,US,Kansas,PRESERVED_SPECIMEN,
767136072,gbif_bpen_na,USDA-ARS,"Bombus pensylvanicus (De Geer, 1773)",1949,18084,38.85059,-97.17902,US,Kansas,PRESERVED_SPECIMEN,
