occurrenceID,eventID,family,genus,specificEpithet,vernacularName,verbatimLocality,decimalLatitude,decimalLongitude,stateProvince,country,verbatimEventDate,modified,coordinateUncertaintyInMeters,sex,individualCount,occurrenceRemarks,recordedBy,recordedByID,identificationVerificationStatus,dateIdentified,identifiedBy,identificationRemarks,datasetID,previousIdentifications,recordSouce,informationWithheld,verbatimHostPlant,floralHostNotes,measurementMethod,images,referenceID,sightingUrl,metadataUrl
173072,119262,Apidae,Bombus,fraternus,Southern plains bumble bee,Home,37.687176,-97.330055,Kansas,United States,10/7/2023,59:33.3,0-25,Female,1,,Amanda Dolechek,adolechek,Verified,1/8/2024,klamke,KL,Bumble Bee Watch,,Website,FALSE,Goldenrod,"'Wichita Mountains' variety, newly planted",,"https://www.bumblebeewatch.org/media/bees/big/fc380eca-171a-465a-90bb-0819a1c8c83f.jpg, https://www.bumblebeewatch.org/media/bees/big/17085e2f-b2b5-41db-83d3-6419a49b7c76.jpg, https://www.bumblebeewatch.org/media/bees/big/9db12e2a-76e3-4e77-b297-661442a21612.jpg, https://www.bumblebeewatch.org/media/bees/big/95541be6-a7c0-4f94-8fe9-0bf4271b481d.jpg",,https://www.bumblebeewatch.org/sightings/bee/173072/,https://www.bumblebeewatch.org/metadata/
172684,119118,Apidae,Bombus,sp.,Bumble bee,Lexington Lake Park,38.970337,-95.005049,Kansas,United States,10/3/2023,24:54.2,250-500,Male,1,,t schroe,oxeyed,Verified,10/6/2023,klamke,"KL - likely B.pen, possible ferv",Bumble Bee Watch,pensylvanicus,Website,FALSE,Blue Gentian,,,https://www.bumblebeewatch.org/media/bees/big/c2ce3a97-2307-45a2-8701-00d1e3328f28.jpg,,https://www.bumblebeewatch.org/sightings/bee/172684/,https://www.bumblebeewatch.org/metadata/
171738,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Male,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,auricomus,Website,FALSE,,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/62e3ab71-a060-4f8e-b2bf-cfc4ec608a85.jpg, https://www.bumblebeewatch.org/media/bees/big/5dfb1dd4-6707-4009-a8dd-88c469053162.jpg, https://www.bumblebeewatch.org/media/bees/big/e352cc35-8d3f-4790-88dc-d6708a0f5814.jpg, https://www.bumblebeewatch.org/media/bees/big/2ed654af-e0f3-4d16-bf9f-9307b5ed03ab.jpg",,https://www.bumblebeewatch.org/sightings/bee/171738/,https://www.bumblebeewatch.org/metadata/
171739,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Male,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,,Website,FALSE,catmint,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/18e08789-8f52-492d-b798-8007a04ef8e4.jpg, https://www.bumblebeewatch.org/media/bees/big/88b6e504-bd29-40e6-aad4-7a27f7a07e77.jpg, https://www.bumblebeewatch.org/media/bees/big/d443207a-0316-4cd7-97f1-f248eb42cbc5.jpg, https://www.bumblebeewatch.org/media/bees/big/b9be498a-5b6b-4166-b9b1-8a13f1930d9d.jpg",,https://www.bumblebeewatch.org/sightings/bee/171739/,https://www.bumblebeewatch.org/metadata/
171741,118898,Apidae,Bombus,fraternus,Southern plains bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Female,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,,Website,FALSE,,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/95cda906-3ecd-4bf0-adee-26875c05d02b.jpg, https://www.bumblebeewatch.org/media/bees/big/916fc314-408a-433b-b190-d95d83c5df3d.jpg, https://www.bumblebeewatch.org/media/bees/big/94a860cf-4c44-44ab-8a48-5f8057e772e1.jpg, https://www.bumblebeewatch.org/media/bees/big/82a94c30-a729-44e3-907e-0612eb31d9ac.jpg",,https://www.bumblebeewatch.org/sightings/bee/171741/,https://www.bumblebeewatch.org/metadata/
171742,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Female,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,sp.,Website,FALSE,hibiscus,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/c1c48533-3c4e-4a97-bbd6-03220b911602.jpg, https://www.bumblebeewatch.org/media/bees/big/22c52c22-46fa-4f4e-bc8c-f9786222c373.jpg, https://www.bumblebeewatch.org/media/bees/big/9edd724a-fa81-4ed7-8471-1e61bfbcbb8c.jpg, https://www.bumblebeewatch.org/media/bees/big/e33ac803-23fb-469a-8230-2c171b23525e.jpg, https://www.bumblebeewatch.org/media/bees/big/e6f838a7-72bd-453d-83c2-098685dd2618.jpg",,https://www.bumblebeewatch.org/sightings/bee/171742/,https://www.bumblebeewatch.org/metadata/
172590,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Female,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,auricomus,Website,FALSE,catmint,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/adf4536e-c9bc-4218-b35a-48fb6338d588.jpg, https://www.bumblebeewatch.org/media/bees/big/eb17f5e4-0f08-403a-be72-959a95d43b55.jpg, https://www.bumblebeewatch.org/media/bees/big/9376f091-db07-4f84-b4d4-580505aa8a08.jpg, https://www.bumblebeewatch.org/media/bees/big/2413c04c-20ed-4c61-b5ae-170744be6292.jpg, https://www.bumblebeewatch.org/media/bees/big/4995b2b7-3f70-41fa-8545-ef26430ca1e7.jpg",,https://www.bumblebeewatch.org/sightings/bee/172590/,https://www.bumblebeewatch.org/metadata/
171744,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Female,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,,Website,FALSE,Salvia,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/72979016-2a11-41e1-ae9b-05ece0a1318c.jpg, https://www.bumblebeewatch.org/media/bees/big/18c61a11-d586-4a51-af68-a3b1858519b4.jpg, https://www.bumblebeewatch.org/media/bees/big/e656ebcf-fdda-4ceb-a599-fcc01f6acf5c.jpg, https://www.bumblebeewatch.org/media/bees/big/e728f383-89a3-4870-809e-b3a097cd461f.jpg, https://www.bumblebeewatch.org/media/bees/big/7e036561-4de7-440e-bdc1-b88468b21faa.jpg",,https://www.bumblebeewatch.org/sightings/bee/171744/,https://www.bumblebeewatch.org/metadata/
172601,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Female,1,,Nicole Mantz,Nicole.mantz,Tentative,10/9/2023,klamke,KL - first photo of Xylocopa,Bumble Bee Atlas,,Website,FALSE,,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/18d0b534-3b66-4b35-b384-1ca360c507ca.jpg, https://www.bumblebeewatch.org/media/bees/big/b0380b14-2879-473c-8664-069c03ca899b.jpg, https://www.bumblebeewatch.org/media/bees/big/06f84132-a657-4829-b253-108e6ac6f1fc.jpg, https://www.bumblebeewatch.org/media/bees/big/3c301a1f-4431-4eb6-8fec-63872f3ecb9b.jpg, https://www.bumblebeewatch.org/media/bees/big/446374b0-7914-4b97-b2a5-a0455f69df36.jpg",,https://www.bumblebeewatch.org/sightings/bee/172601/,https://www.bumblebeewatch.org/metadata/
172602,118898,Apidae,Bombus,pensylvanicus,American bumble bee,Hutchinson Zoo Pollinator Gardens,38.029377,-97.918017,Kansas,United States,9/28/2023,26:02.0,100-250,Female,1,,Nicole Mantz,Nicole.mantz,Verified,10/9/2023,klamke,KL,Bumble Bee Atlas,,Website,FALSE,catmint,,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/81e1a2ca-9485-45ec-a244-b51ed4a8dee2.jpg, https://www.bumblebeewatch.org/media/bees/big/b8490044-1fc4-4a2d-b31c-7537d705c17f.jpg, https://www.bumblebeewatch.org/media/bees/big/9496aef4-f554-497a-95bf-01377e10ceda.jpg, https://www.bumblebeewatch.org/media/bees/big/4b667549-5395-464a-83ad-5e02039ee6d6.jpg, https://www.bumblebeewatch.org/media/bees/big/7213d5ea-d009-4117-9d4f-f88cd460fa8d.jpg",,https://www.bumblebeewatch.org/sightings/bee/172602/,https://www.bumblebeewatch.org/metadata/
