YearObserved,Latitude,Longitude,Pres_Abs,Time_s
2023,37.739467,-97.265217,1,Current
2023,38.403876,-96.230902,1,Current
2023,37.74185,-97.264533,1,Current
2023,38.710013,-94.966172,1,Current
2023,38.810782,-97.586942,1,Current
2023,38.810855,-97.587087,1,Current
2023,38.498661,-95.857834,1,Current
2023,38.878863,-94.853613,1,Current
2023,38.872906,-99.342326,1,Current
2023,38.898895,-99.315544,1,Current
2023,37.28349,-97.385684,1,Current
2023,38.088779,-97.876922,1,Current
2023,38.890731,-99.302501,1,Current
2023,38.889944,-99.302157,1,Current
2023,38.971645,-95.23525,1,Current
2021,39.043743,-95.708183,1,Current
2023,38.898247,-94.888,1,Current
2023,38.810728,-97.587193,1,Current
2023,39.858246,-98.812035,1,Current
2023,38.877876,-94.943928,1,Current
2023,38.883304,-94.906607,1,Current
2023,37.98377,-100.984512,1,Current
2023,38.458884,-94.921905,1,Current
2023,37.7559,-97.491167,1,Current
2023,37.755767,-97.493317,1,Current
2023,38.459847,-94.921647,1,Current
2023,37.6954,-97.364538,1,Current
2023,37.619892,-97.305532,1,Current
2023,38.882737,-94.650703,1,Current
2023,39.668695,-95.512575,1,Current
2023,38.162021,-95.305738,1,Current
2023,37.695687,-97.363067,1,Current
2022,38.450514,-96.152872,1,Current
2023,38.678741,-97.603767,1,Current
2023,38.471555,-94.918423,1,Current
2020,38.88304,-99.329863,1,Current
2023,37.74035,-97.274883,1,Current
2021,37.463528,-98.920831,1,Current
2020,38.88082,-94.8995,1,Current
2022,37.910564,-97.361056,1,Current
2021,38.761158,-95.183128,1,Current
2022,38.960606,-95.23432,1,Current
2021,38.672894,-96.508919,1,Current
2021,38.988176,-94.807294,1,Current
2020,38.929574,-95.215542,1,Current
2021,38.077443,-97.940259,1,Current
2021,38.946398,-95.263756,1,Current
2022,39.311286,-94.922464,1,Current
2021,38.440401,-98.628129,1,Current
2021,38.879617,-94.896858,1,Current
2022,38.813686,-97.610111,1,Current
2022,39.03583,-95.713706,1,Current
2022,39.036264,-95.713946,1,Current
2021,39.350833,-101.710172,1,Current
2020,39.092224,-97.320604,1,Current
2021,38.96183,-95.235383,1,Current
2022,38.845421,-95.352608,1,Current
2021,37.694988,-97.355922,1,Current
2022,38.983185,-95.328049,1,Current
2022,38.091519,-97.773672,1,Current
2022,38.088255,-97.876381,1,Current
2022,38.95844,-94.952882,1,Current
2022,38.832127,-97.587511,1,Current
2022,38.948058,-95.26407,1,Current
2022,39.319176,-94.959168,1,Current
2022,37.696197,-97.356195,1,Current
2022,39.189493,-96.581907,1,Current
